Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
2014-12-31,406,406.5,396,397,117710,640798
2014-12-30,411.75,412.75,406,406.5,95406,645205
2014-12-29,414,417,410.75,412.75,85196,647859
2014-12-26,410.25,415,405.75,414.75,51475,645230
2014-12-24,413.5,415,405.75,407.75,68258,651265
2014-12-23,411,415.75,410.5,414,89668,655121
2014-12-22,409.75,414.25,408.5,411.75,89460,661173
2014-12-19,410.75,411.25,405,410.5,116956,659831
2014-12-18,408,414,407,411,124406,657252
2014-12-17,405.75,410,403.5,408.25,119492,664382
2014-12-16,407.75,411.5,404,406,171278,665300
2014-12-15,407.5,412.5,405,408.5,162288,666939
2014-12-12,397.25,410,397.25,407.5,193038,671031
2014-12-11,393.75,401,392.25,398.5,155454,669370
2014-12-10,394.25,398.25,389.25,393.75,133395,675428
2014-12-09,389.5,396,387.5,395.25,106863,669707
2014-12-08,394,399.75,389.5,390.25,142051,671001
2014-12-05,388.75,396,386,395,139986,672093
2014-12-04,381.75,390.5,380.25,389.75,158130,666565
2014-12-03,381.5,382.5,377.25,382,93153,662693
2014-12-02,389,391,380.75,381.25,154056,665983
2014-12-01,386,391.5,383,389.75,149495,665410
2014-11-28,387.4,391.05,380.25,386.15,102048.6,540522.6
2014-11-26,381.8,386.7,381.4,386.2,178952.8,418058
2014-11-25,372.5,380.35,371.35,379.45,159769.8,333452
2014-11-24,374.75,375.35,368.05,370.05,156700.2,274101.8
2014-11-21,372.75,381.5,369.75,372.75,203953,276456
2014-11-20,363,374.75,362.5,373.25,191419,317200
2014-11-19,371.75,372,362.75,363.25,201364,347871
2014-11-18,377.5,378.75,371.25,372,164642,371699
2014-11-17,381.5,384.25,374.25,377.5,165518,389753
2014-11-14,385.5,387,380.5,381.75,159394,404377
2014-11-13,377,389,377,386.25,298531,424617
2014-11-12,373.5,385,372.75,377.75,337018,473151
2014-11-11,368.25,374.5,365.5,373.75,223988,499916
2014-11-10,366,378.75,364.75,369.25,310022,530315
2014-11-07,370,371.75,364.25,367.5,207758,557039
2014-11-06,369.5,374.5,366.5,371.25,172062,574554
2014-11-05,364,371.75,359,370.25,212227,581045
2014-11-04,372.5,372.5,364,364.5,177754,596323
2014-11-03,374.5,375.25,370.5,373.5,157163,604872
2014-10-31,372.75,378,368,376.75,190175,618089
2014-10-30,374.75,381,371.5,374,202101,629009
2014-10-29,364.25,376,362.5,375.25,215948,638826
2014-10-28,362.5,371.75,361.25,364.5,221032,648853
2014-10-27,351.75,363.75,348.5,363,171841,660516
2014-10-24,359.25,365,352.25,353,161700,667119
2014-10-23,352,360.25,351,359.75,143662,674164
2014-10-22,355.5,361,352.25,353,172863,687769
2014-10-21,347.5,358.75,347,356,158470,699404
2014-10-20,345.25,349,342,348.25,140485,699400
2014-10-17,351.75,355.75,346.5,348,126402,707984
2014-10-16,347.75,353,345,352.25,137515,718838
2014-10-15,356,358.25,346.5,347.5,182242,729460
2014-10-14,345.5,357.5,343,357,194322,740833
2014-10-13,333.5,347.5,330.5,346,141831,738792
2014-10-10,343.25,348.5,332.5,334,233534,750283
2014-10-09,342.5,348,340.75,344.75,171329,753204
2014-10-08,340,343.5,337.5,343.25,125805,756993
2014-10-07,331.75,342.25,330.5,340.5,217024,755449
2014-10-06,323.25,332.75,323.25,332.5,133582,754657
2014-10-03,322.75,325.75,321,323.25,91688,763543
2014-10-02,320.5,323.25,319.25,322.75,122718,765482
2014-10-01,320.25,323.5,318.25,321.25,120945,770407
2014-09-30,325.5,326.25,319.5,320.75,173061,772879
2014-09-29,322.25,326.5,322,325.75,104305,772470
2014-09-26,326,327,322.75,323,85804,785484
2014-09-25,329.25,330.75,325.25,326,107160,779017
2014-09-24,325.5,330,324.75,329.5,130789,785102
2014-09-23,329.5,331,324.75,325.5,124358,788054
2014-09-22,331,331.5,326.75,330.25,130723,789586
2014-09-19,338,338.25,331.5,331.5,107147,789519
2014-09-18,341,341.75,338,338.25,100471,790409
2014-09-17,343.25,344.25,339.25,341.75,83009,796121
2014-09-16,342.5,350.5,338.75,343.75,143883,797616
2014-09-15,337,343.5,335.75,343,101437,795396
2014-09-12,341,344,337.25,338.5,104949,795589
2014-09-11,345.5,345.5,335.75,341,170977,791192
2014-09-10,344,347.25,343,345.75,100513,795221
2014-09-09,348.25,348.25,343,344.25,95750,792184
2014-09-08,354.5,358,346.25,348.25,112969,795629
2014-09-05,346.75,357.5,346.75,356,152904,811031
2014-09-04,352,353.25,343.75,346.5,153601,815812
2014-09-03,362.75,362.75,351.25,352,175823,808350
2014-09-02,363.25,367.5,362.25,363.75,90341,809940
2014-08-29,366.4,367.55,361.2,363.6,92207,650319.4
2014-08-28,360.65,366.8,360,366.25,115618,502821.6
2014-08-27,358.7,360.1,356.3,359.6,87485,365829
2014-08-26,360.5,361.25,355.15,357.8,98168.4,237687.8
2014-08-25,363.5,364.25,358.75,360,78302,113234
2014-08-22,361.25,367,361.25,365.5,106818,171441
2014-08-21,358.75,366,358,362.25,98175,179937
2014-08-20,361.5,362,356.25,359.5,95479,198394
2014-08-19,360,363.25,356.5,362.5,79608,214031
2014-08-18,365.5,370,359.75,360.75,78113,232761
2014-08-15,361,368,360.5,365.75,74395,243499
2014-08-14,357.75,362.75,355,362,67793,258033
2014-08-13,358,361,354.5,358,109657,284771
2014-08-12,355.5,362,347.75,358.5,193799,323847
2014-08-11,351,357.75,350.5,356.75,166261,365065
2014-08-08,358.75,359.5,351.25,351.75,123347,398004
2014-08-07,362,362.75,355.75,359.5,132926,434742
2014-08-06,355.75,364,355.5,363.25,74891,444619
2014-08-05,358,358.25,353,356.25,65584,455658
2014-08-04,351.5,361.25,351.5,358.75,75355,464043
2014-08-01,357,358.75,351.5,352.5,72880,477976
2014-07-31,360.5,361.5,356.75,357,68257,482210
2014-07-30,361,364.25,357.75,361.75,78258,487199
2014-07-29,367.5,368.5,358.5,361.5,75808,495687
2014-07-28,363,369.25,363,367.75,62724,500907
2014-07-25,361,363.5,357,363,75733,503321
2014-07-24,361.75,369,356.5,361.5,80128,503994
2014-07-23,360,363.5,357.5,362.5,59652,501399
2014-07-22,363.5,367,359.75,360.25,56264,502013
2014-07-21,369,369,363,364,80084,504014
2014-07-18,379,381.25,370,371.25,62889,502429
2014-07-17,378,387.75,374.5,379.5,99065,501855
2014-07-16,374,386.25,373.75,378.25,86879,507995
2014-07-15,381,381.25,371,374,104194,509271
2014-07-14,377.25,382.75,374,381.5,63257,509240
2014-07-11,386,388.5,375.75,378.25,99276,510781
2014-07-10,390.25,394.25,385.25,386.25,93365,512308
2014-07-09,397.75,398,388.5,391.25,90044,515304
2014-07-08,400.5,402.25,396.75,398.25,91717,511268
2014-07-07,405.75,406,397,400.5,106889,511630
2014-07-03,412.5,414,408.5,409.5,47469,510643
2014-07-02,416,416.5,410,412.25,62897,510743
2014-07-01,418,418.5,410.25,416,95572,512133
2014-06-30,442,442.15,417.9,419.85,145286,412760
2014-06-27,439.85,443.3,437.75,442.55,116705.4,324515.2
2014-06-26,439.3,444.4,438.55,441.25,118635,255500.4
2014-06-25,441.75,441.75,438.75,439.95,128356,209097.2
2014-06-24,444.75,445,439.5,443,108207,165944
2014-06-23,453,457.75,444,444.5,112975,193279
2014-06-20,449.75,453.75,446.25,453.25,111978,231544
2014-06-19,441,450.75,441,450.5,116708,258381
2014-06-18,438.5,443.75,438.5,441.5,95002,279280
2014-06-17,440.75,441.5,435.5,438.75,109491,301442
2014-06-16,444.25,449.5,440.25,441,127895,329725
2014-06-13,444,449.75,443.75,447,127620,353091
2014-06-12,440.5,445,439.5,444,157210,372849
2014-06-11,445.5,449.75,439.25,441,184454,403399
2014-06-10,450.5,455,444.75,445.5,141802,424058
