Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-12-29,214.975,218.225,214.975,217.3,3.725,217.45,1777,8958
2014-12-26,215.25,216.7,210.25,213.75,1.025,213.725,3046,9529
2014-12-24,217.475,217.475,214.6,214.85,2.375,214.75,1545,9865
2014-12-23,220.7,220.75,216.6,217.1,3.375,217.125,2913,11083
2014-12-22,221.2,221.775,219.8,220.525,0.35,220.5,2529,12217
2014-12-19,218.4,221.125,217.375,220,3.075,220.15,3118,12842
2014-12-18,212.1,220.25,212.1,217.225,0.475,217.075,10973,15423
2014-12-17,216.6,216.6,216.6,216.6,3,216.6,1064,15579
2014-12-16,219.6,219.6,219.6,219.6,3,219.6,879,15627
2014-12-15,223.6,223.6,222.6,222.6,3,222.6,2309,15744
2014-12-12,227.625,227.625,225.6,225.6,3,225.6,4563,16849
2014-12-11,231.15,231.7,228.6,228.6,3,228.6,3563,17231
2014-12-10,232.5,232.575,229.775,231.575,1.175,231.6,4427,17792
2014-12-09,231.6,232.925,230.575,232.8,0.9,232.775,6228,18789
2014-12-08,234.4,234.475,231.875,231.875,3,231.875,3947,18801
2014-12-05,236.775,237.1,234,234.85,1.075,234.875,5156,19295
2014-12-04,234.85,237.125,234.525,235.95,1.125,235.95,4798,19761
2014-12-03,235.775,235.8,233.025,234.8,0.725,234.825,5629,19515
2014-12-02,234.525,236.95,233.85,235.55,1.475,235.55,6385,19877
2014-12-01,231.275,234.075,231.2,234.075,3,234.075,4547,19969
2014-11-28,230.3,231.925,230.1,231.075,0.575,231.075,1602,19968
2014-11-26,231.575,232.9,230.05,230.475,0.875,230.5,3502,20086
2014-11-25,232.15,232.775,230.375,231.35,1.975,231.375,4456,20235
2014-11-24,236.35,237.2,233.35,233.35,3,233.35,3874,20165
2014-11-21,235.475,236.875,235,236.35,0.775,236.35,2540,20265
2014-11-20,240.375,240.475,240.125,240.425,0.125,240.425,1604,4842
2014-11-19,240.425,240.65,240.3,240.55,0.125,240.55,1365,5355
2014-11-18,240.3,240.6,240.075,240.425,0.4,240.425,1569,5856
2014-11-17,239.925,240.4,239.65,240.025,0.025,240.025,2118,6544
2014-11-14,239.55,240.1,238.85,240,0.65,240,1760,6878
2014-11-13,239.1,239.5,238.875,239.375,,239.35,1703,7494
2014-11-12,238.725,239.5,237.375,239.35,0.5,239.35,1837,7900
2014-11-11,239.225,239.4,238.3,238.825,0.175,238.85,1495,8266
2014-11-10,238.65,239.8,238.5,239.025,0.5,239.025,1551,8495
2014-11-07,236.85,238.65,236.65,238.525,2,238.525,2293,8982
2014-11-06,235.8,237,235.7,236.525,0.75,236.525,1579,9218
2014-11-05,236.775,237.15,235.3,235.775,1.35,235.775,2325,9577
2014-11-04,236.125,237.25,234.95,237.125,1.55,237.125,2531,9976
2014-11-03,234.6,236.4,233.85,235.575,1.425,235.575,1883,10108
2014-10-31,235.225,236.425,233.575,234.15,0.075,234.15,3162,10367
2014-10-30,239.4,239.85,239.4,239.75,0.9,239.75,660,3351
2014-10-29,238.325,239.2,238.3,238.85,0.575,238.85,604,3459
2014-10-28,237.9,238.375,237.575,238.275,0.05,238.275,489,3611
2014-10-27,238.675,238.925,237.375,238.325,0.425,238.325,997,3920
2014-10-24,240.8,240.85,237.675,237.9,2.325,237.9,1782,4186
