Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest,Returns
2014-31-14,165.25,166,162.675,163.55,24548,119193,
2014-30-14,165.6,166.525,164.275,164.7,16015,119545,0.002118003
2014-12-29,163.15,165.475,163.15,165,19503,119743,-0.012708018
2014-12-26,161,163,160.125,162.475,13075,120121,-0.025718608
2014-12-24,160.55,161.4,159.65,160.575,11784,121499,-0.028441755
2014-12-23,160.95,161.175,159.075,160.6,15787,121724,-0.02602118
2014-12-22,160.4,161.425,160.25,160.825,14264,120664,-0.02934947
2014-12-19,158.575,160.775,158.45,160.1,21966,122530,-0.040393343
2014-12-18,155.6,158.825,155.1,158.525,29998,127255,-0.058396369
2014-12-17,156,159.6,155.75,155.825,30089,133692,-0.055975794
2014-12-16,161,161.55,158.75,158.75,13736,134221,-0.025718608
2014-12-15,162.125,162.45,160.925,161.75,17954,134768,-0.018910741
2014-12-12,162.475,163.95,160.7,162.175,22989,137121,-0.016792738
2014-12-11,163.175,163.775,162.325,162.575,19261,140200,-0.012556732
2014-12-10,163.45,163.45,161.5,162.85,19736,142401,-0.010892587
2014-12-09,162.075,163.9,161.225,163.05,26661,144016,-0.019213313
2014-12-08,164.75,165.05,161.875,161.875,26120,145060,-0.003025719
2014-12-05,166.875,167.025,164.425,164.875,21331,145265,0.009833585
2014-12-04,166.75,167.9,166.575,166.975,15945,143531,0.009077156
2014-12-03,168.55,168.6,166.1,167.125,28751,147512,0.019969743
2014-12-02,170.65,170.925,168.425,169.05,23232,145249,0.032677761
2014-12-01,169.2,170.9,168.025,170.85,26320,142679,0.023903177
2014-11-28,169.055,169.575,168.555,169.155,12633.4,123336.2,0.023025719
2014-11-26,170.39,171.035,169.115,169.505,15615,106324.2,0.031104387
2014-11-25,169.67,170.74,169.3,170.5,13424.2,89610.8,0.026747352
2014-11-24,171.36,171.85,169.09,169.605,18653,77813.8,0.036974281
2014-11-21,170.25,171.275,169.8,170.9,11608,64794,0.030257186
2014-11-20,171.175,171.25,169.825,170.25,12138,68133,0.035854766
2014-11-19,170.8,171.25,170.1,170.825,12211,71285,0.033585477
2014-11-18,171,171.075,170.425,170.825,9445,74192,0.034795764
2014-11-17,170.8,171.3,170.375,171,17460,79043,0.033585477
2014-11-14,169.85,170.575,169.25,170.2,20635,83650,0.027836611
2014-11-13,168.45,170.2,168.225,169.65,43906,94692,0.019364599
2014-11-12,167,168.35,166.525,167.75,37179,103991,0.010590015
2014-11-11,167.1,168.1,166.475,167.25,28582,111010,0.011195159
2014-11-10,167.225,167.9,166.9,167.125,23740,117517,0.011951589
2014-11-07,165.4,167.275,165.1,166.8,26107,124239,0.000907716
2014-11-06,165.225,166.45,165.075,165.35,17670,127066,-0.000151286
2014-11-05,166.65,166.7,164.9,165.2,23607,132511,0.008472012
2014-11-04,167,167.25,166.35,166.65,16776,135756,0.010590015
2014-11-03,165.75,167.325,165.175,167.05,22131,137563,0.003025719
2014-10-31,167.45,167.75,165.45,166.05,30846,138465,0.013313162
2014-10-30,166.925,168,166.1,167.325,24395,141548,0.010136157
2014-10-29,167.625,168.375,165.975,166.75,24451,145646,0.014372163
2014-10-28,167.775,168.15,166.75,167.775,13135,147023,0.015279879
2014-10-27,167.2,168.55,166.725,167.825,14863,147464,0.011800303
2014-10-24,169.725,169.975,166.5,166.9,20551,149576,0.027080182
2014-10-23,168.4,170,167.6,169.1,22713,147943,0.019062027
2014-10-22,167.175,168.475,166.775,168.1,14931,146695,0.011649017
2014-10-21,167.825,169.75,166.325,167.05,27640,146818,0.015582451
2014-10-20,165.125,168.05,165.1,168.025,16380,146380,-0.00075643
2014-10-17,164.7,165.7,163.875,165.05,16423,149481,-0.00332829
2014-10-16,162.5,165.475,162.375,165.3,24531,149256,-0.016641452
2014-10-15,164.125,164.875,161.8,162.475,35397,151806,-0.006807867
2014-10-14,166.35,166.925,163.8,163.925,21786,154525,0.006656581
2014-10-13,166.025,167.65,165.95,166.7,12813,154522,0.004689864
2014-10-10,165.575,166.625,164.4,165.3,23262,155681,0.001966717
2014-10-09,168.575,169.6,165.05,165.875,30374,156805,0.020121029
2014-10-08,167.925,168.825,167.125,168.05,20342,157450,0.016187595
2014-10-07,166.425,168.9,166.15,167.85,24296,155496,0.007110439
2014-10-06,166,167.025,165.5,166.3,18036,154717,0.004538578
2014-10-03,166.575,167.675,165.625,165.875,21410,153940,0.008018154
2014-10-02,165.825,166.95,165.3,166.425,26975,155761,0.003479576
2014-10-01,163.35,166.175,163.275,165.9,38819,153400,-0.011497731
2014-09-30,164.21,164.315,162.5,162.87,19232.4,131144.2,-0.006293495
2014-09-29,160.565,163.625,159.9,163.065,26335.8,109422.6,-0.028350983
2014-09-26,157.25,159.91,156.735,159.91,21008.6,89175.6,-0.048411498
2014-09-25,155.745,156.77,155.51,156.18,12422.2,71482.2,-0.057518911
2014-09-24,155.1,155.6,154.7,155.325,11779,56155,-0.061422088
2014-09-23,155.475,155.9,154.5,155.45,9574,58599,-0.059152799
2014-09-22,155.1,155.65,154.5,155.5,9909,60500,-0.061422088
2014-09-19,155.9,156.325,155.05,155.625,18452,68501,-0.056580938
2014-09-18,156.775,156.775,154.625,155.6,15645,73018,-0.05128593
2014-09-17,156.35,157.975,156.225,157.025,15477,75738,-0.053857791
2014-09-16,156.4,156.45,154.8,156.2,11198,77982,-0.053555219
2014-09-15,157,157.35,155.475,156.35,16829,81235,-0.049924357
2014-09-12,157.525,158.275,156.05,156.275,28354,84176,-0.046747352
2014-09-11,159.95,160.025,157.25,157.375,27023,89962,-0.032072617
2014-09-10,160.425,161.75,157.95,159.7,39188,96013,-0.029198185
2014-09-09,158.575,160.45,158.475,159.675,28289,102557,-0.040393343
2014-09-08,160.05,160.3,158.2,158.525,33785,114551,-0.031467474
2014-09-05,157.75,160.05,157.275,159.75,29832,117378,-0.045385779
2014-09-04,155.95,158.425,155.5,157.05,51997,127844,-0.056278366
2014-09-03,152.925,155.425,152.8,155.425,27919,130186,-0.074583964
2014-09-02,151.85,154.05,151.75,152.425,27485,134516,-0.081089259
2014-08-29,149.95,151.55,149.75,151.425,20560,134927,-0.092586989
2014-08-28,147.9,150.8,147.5,150.1,26349,136423,-0.104992436
2014-08-27,148.25,148.6,147.475,147.825,14603,137772,-0.102874433
2014-08-26,147.95,149.025,147.9,148.25,18331,139682,-0.104689864
2014-08-25,147.325,148.625,147.075,148.15,17431,141146,-0.108472012
2014-08-22,145.6,147.875,145.55,147,17766,143905,-0.118910741
2014-08-21,145.35,146.15,144.45,145.55,19230,143920,-0.120423601
2014-08-20,146.7,146.775,144.225,145.4,23117,145790,-0.11225416
2014-08-19,148.4,149.25,146.55,147.225,17184,145928,-0.101966717
2014-08-18,148.025,149.375,147.15,148.55,16332,145940,-0.104236006
2014-08-15,147.2,148.9,146.9,147.75,18879,148489,-0.109228442
2014-08-14,146.425,147.775,145.825,147.35,19231,149875,-0.113918306
2014-08-13,147.175,148.45,144.925,146.55,30658,151780,-0.109379728
2014-08-12,150.45,150.725,147.45,147.675,28068,153494,-0.089561271
2014-08-11,147.9,152.05,147.85,150.45,32794,155161,-0.104992436
2014-08-08,152.575,152.85,150,150,19716,157509,-0.076701967
2014-08-07,155.9,156.375,152.95,153,30468,158690,-0.056580938
2014-08-06,155.8,156.375,154.725,155.95,17482,156585,-0.057186082
2014-08-05,156.525,157.25,155.325,155.65,16220,156006,-0.05279879
2014-08-04,156.25,157,154.95,156.225,18279,155056,-0.054462935
2014-08-01,156.8,157.25,154.425,156,25600,154304,-0.051134644
2014-07-31,159.965,160.115,157.04,157.445,22952,132511.4,-0.031981846
2014-07-30,159.105,160.215,158.815,159.895,13303.2,111115,-0.037186082
2014-07-29,159.37,159.65,158.51,158.895,12313.8,91704,-0.035582451
2014-07-28,159.94,160.35,158.155,159.055,15266.2,73454,-0.032133132
2014-07-25,156.975,159.1,156.45,159.1,13464,56326,-0.050075643
2014-07-24,156.65,158.65,155.35,156.55,22731,59331,-0.05204236
2014-07-23,156.7,157.575,154.625,156.05,25074,65000,-0.051739788
2014-07-22,153.2,155.95,153.175,155.95,21456,68875,-0.072919818
2014-07-21,151.8,153.325,151.25,152.95,15822,72132,-0.081391831
2014-07-18,150.4,152.025,150.2,151.625,22465,76181,-0.089863843
2014-07-17,149.2,150.675,149.1,150.65,26336,82642,-0.097125567
2014-07-16,148.5,149.3,147.275,147.675,23524,86597,-0.101361573
2014-07-15,148.25,148.875,147.65,148.575,19473,90780,-0.102874433
2014-07-14,149.2,149.35,147.275,147.8,28802,100249,-0.097125567
2014-07-11,148.2,149.575,146.575,149.125,39733,109271,-0.103177005
2014-07-10,151.275,151.625,147.95,148.15,47100,120976,-0.084568835
2014-07-09,153.6,155.375,150.525,150.8,48293,133902,-0.070499244
2014-07-08,154.9,155.325,152.975,153.525,37323,144062,-0.062632375
2014-07-07,155.8,156.5,154.275,154.95,28261,149425,-0.057186082
2014-07-03,155.05,155.325,154.075,155,27022,153348,-0.06172466
2014-07-02,151.625,154.5,151.075,152.325,33762,158699,-0.082450832
2014-07-01,150.375,151.925,150.375,151.5,23518,160995,-0.090015129
2014-06-30,151.7,152.8,149.75,150.075,19990,163226,-0.081996974
2014-06-27,152.85,153,150.55,151.125,33357,168402,-0.075037821
2014-06-26,151.025,153.025,150.8,152.75,24718,169356,-0.086081694
2014-06-25,149.475,151.55,149.2,150.65,22733,171815,-0.095461422
2014-06-24,147,149.825,146.925,149.725,23953,171997,-0.110438729
2014-06-23,146.35,147.2,146.35,146.925,13847,172571,-0.114372163
2014-06-20,147.75,147.85,146.025,146.325,19346,175083,-0.105900151
2014-06-19,145.5,148.025,145.375,147.475,26346,172722,-0.119515885
2014-06-18,145.575,146.25,144,145.025,28915,174784,-0.119062027
2014-06-17,146.525,147.75,145.575,145.725,15943,174542,-0.113313162
2014-06-16,147.025,147.15,146.125,146.45,12921,175236,-0.110287443
2014-06-13,145.55,147.3,144.725,146.625,26952,176375,-0.119213313
2014-06-12,142.65,145.2,142.4,145.05,29438,176583,-0.136762481
2014-06-11,143.55,143.625,142.15,142.2,20682,177406,-0.131316188
2014-06-10,143.55,143.825,142.65,143.4,21086,179193,-0.131316188
2014-06-09,141.85,143.575,141.775,143.275,24734,180554,-0.141603631
2014-06-06,141.125,142,140.75,141.3,26761,180920,-0.145990923
2014-06-05,140.25,141.575,140.075,141.325,21984,177501,-0.15128593
2014-06-04,140.075,140.45,139.275,140.175,20221,176602,-0.152344932
2014-06-03,139.4,140.55,139.25,140.075,21770,172370,-0.156429652
2014-06-02,138.5,139.4,138.45,139.125,22973,168367,-0.161875946
2014-05-30,139.43,139.505,138.245,138.44,15730.6,146329.8,-0.156248109
2014-05-29,137.115,139.405,137,138.715,24307.8,124074.4,-0.170257186
2014-05-28,136.19,136.86,135.955,136.53,11109.8,105538.8,-0.175854766
2014-05-27,136.565,136.675,135.62,135.83,12753.8,89322.4,-0.173585477
2014-05-23,137.6,137.7,136.25,136.3,12834,75639,-0.167322239
2014-05-22,138.5,138.55,137,137.6,13794,81041,-0.161875946
2014-05-21,138.875,139.15,138.075,138.275,11759,85541,-0.159606657
2014-05-20,139.55,139.6,138.575,138.75,14102,89686,-0.155521936
2014-05-19,137.775,139.875,137.5,139.4,26797,91075,-0.166263238
2014-05-16,137.625,137.95,137.1,137.9,14683,94846,-0.167170953
